timestamp,plant_id,zone_id,line_id,machine_id,sensor_id,sensor_type,value,production_level,machine_status,shift,expected_value,event_type,leakage_status,deviation_pct,rolling_mean_3,rolling_std_3,rate_of_change
2026-09-18 00:00:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,503.189,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,0.0063780000000000425,503.189,0.0,0.0
2026-09-18 00:05:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,494.748,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,-0.010504000000000019,498.9685,5.968688339995669,-8.441000000000031
2026-09-18 00:10:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,509.504,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,0.01900800000000004,502.48033333333336,7.40348163591519,14.756000000000029
2026-09-18 00:15:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,492.576,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,-0.014847999999999957,498.94266666666664,9.210630669684543,-16.927999999999997
2026-09-18 00:20:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,505.977,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,0.01195399999999995,502.6856666666667,8.931066696276147,13.400999999999954
2026-09-18 00:25:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,494.846,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,-0.010307999999999993,497.7996666666666,7.172155208396796,-11.130999999999972
2026-09-18 00:30:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,493.644,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,-0.012711999999999989,498.1556666666667,6.800083994579282,-1.2019999999999982
2026-09-18 00:35:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,499.945,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,-0.00011000000000001364,496.145,3.3453252457721465,6.300999999999988
2026-09-18 00:40:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,510.92,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,0.021840000000000033,501.503,8.742743676901382,10.975000000000023
2026-09-18 00:45:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,508.818,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,0.017635999999999968,506.561,5.825220425013784,-2.1020000000000323
2026-09-18 00:50:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,494.619,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,-0.010761999999999943,504.78566666666666,8.86709841680644,-14.198999999999955
2026-09-18 00:55:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,501.344,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,0.002687999999999988,501.59366666666665,7.1027917281398745,6.724999999999966
2026-09-18 01:00:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,507.55,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,0.015100000000000023,501.171,6.467235653662175,6.206000000000017
2026-09-18 01:05:00,AMF-01,NW-01,L-CA,P1-L-CA,SENS-P1-L-CA-FLO-1,flow,510.996,0.1,IDLE,SHIFT_3,500.0,NORMAL_OPERATION,0,0.021991999999999963,506.62999999999994,4.891326609417737,3.4459999999999695
